relative_path,reference_language,translation_block_count,string_dialogue_count,source_fingerprint_sha256
code/renpy/screens/interaction.rpy,deutsch,1,1,28d6bbf9b588bb81285c867c699ff547074d9c605c037e38b6a30486cf19b5bb
code/renpy/screens/language.rpy,deutsch,1,1,248aa3ffc30aee8959d391580121475336f37748058ca672643a8609935dca4d
code/renpy/screens/lovense.rpy,deutsch,1,14,5068ccbaf3708b179986aa31ba83a3be013a794375fcd70e57dd973778aad3a7
code/renpy/screens/map.rpy,deutsch,1,1,d3ce810be1839c318db99f558de9f53716daf4186d612ed0a9eb3485e08d3e8b
code/renpy/screens/money_statement.rpy,deutsch,1,4,e7b3cdc56170be2773451419ebb20e0df163440f60441df86195d2564ad8104b
code/renpy/screens/movie_progress.rpy,french,1,6,ad7aee3816801e9fc4b4e9e6804bc2c51b82713ed853e44ec9f3873c825455ba
code/renpy/screens/music_player.rpy,deutsch,1,3,7266b28545c8de043ac8dab7c1a02322fed300a161c65c12dbf3e83dc9f200fc
code/renpy/screens/neutral_characters.rpy,deutsch,1,1,971ec43697a2f06478d2020a7315c467317ac301b3e98b1968122cd455452d36
code/renpy/screens/others.rpy,french,1,19,83a778a01e598c4b06ff93db8fa604d2eb758966cd96f6de90ced498d733aee9
code/renpy/screens/phone.rpy,deutsch,1,12,7f5b6ff91a936d51e78a697ba5095de7b5090dff6514be7777bd818182da377c
code/renpy/screens/pirates_movie.rpy,french,1,8,071678432b796236a573ceed453717243ed26de95c836c73d27e9a3f5c6e4c32
code/renpy/screens/quests.rpy,deutsch,1,6,2968ad188bea3cb20db4d6879f89ec1369dc697d46ee2673ec68c7a4be63af3b
code/renpy/screens/renovation.rpy,deutsch,2,6,50b17f5cd7a1e4df477716b3216038157cf6061f1acf43d0bf0311712ea8a5ed
code/renpy/screens/sandbox.rpy,deutsch,1,3,bb4a770d0964fc55d325be60edd5f504131323a3d35d868197b8248cd04a0dfa
code/renpy/screens/save.rpy,spanish,1,12,62a60d8613387bb81bc335f3fbf0c535a00c0e0a2cf7cc4460dbd770abf2fdac
code/renpy/screens/scifi_movie.rpy,deutsch,1,1,0546bb83a0557ff1b31a24ddf3a26f8ade8498b96c7d93ed3b6b0fe4e6f3904f
code/renpy/screens/screens.rpy,french,1,137,b39dd74b3bbca05e0b6a9215a7a4a23af5b8a78339dc6c78abf019063b285155
code/renpy/screens/sm_website.rpy,deutsch,2,13,6b2ff687c090bc05270050acba3eaa7d414d699f487ddfa29984b58218822d2c
code/renpy/screens/studio_laptop.rpy,deutsch,1,1,636d09ae21688319f541e703f1c6d5096bdbc1572f5e17f1d334a1551bca5c9e
code/renpy/screens/topics.rpy,deutsch,1,1,0552462042d64ed70a0c368b71e8e933f87e32c60caa7fb99c1ba9a49112d5f0
code/renpy/screens/ui.rpy,deutsch,1,4,9a0d0befa5cf4954ab632ba0b2bdfc281530f24c726762b446e31b162702fe29
code/renpy/screens/vn_mode.rpy,spanish,3,3,3f51682203506a4845970cd180c1bd3440ad5333bc8e5e1100fa29ea5c8e9664
code/renpy/screens/wait.rpy,deutsch,1,4,37501faee528384104d6c8d74f5a92fe4a2fd1839d2cae90b4b609cb84750b27
code/scenes/character_scenes/arj/sm1cs-arj001.rpy,deutsch,114,114,2e875b56d6e9164113e7c6d338925bf3812b20de279f5bb85041dee49e79a0bb
code/scenes/character_scenes/arj/sm1cs-arj001i.rpy,deutsch,18,18,54aa374d059eebbeef032361028776cfc98ab477c15985c3a8d07a96e645686f
code/scenes/character_scenes/arj/sm1cs-arj002.rpy,deutsch,334,341,426ae8c86ffaecbbe5aab5e81629f3b60fd37433751aaa4c9f75e81034e16de6
code/scenes/character_scenes/arj/sm1cs-arj002i.rpy,deutsch,9,9,d16439dd78db6ec3c2023c0e1dc1b366cc2cc4ef15cfa8fd08bacebad76b564b
code/scenes/character_scenes/arj/sm1cs-arj003.rpy,french,174,178,1699ccd2f123a7ed6306cd55a362f78ba08a8573aa347dbbfb9a40dade7feb89
code/scenes/character_scenes/bg/sm1cs-bg001.rpy,deutsch,185,186,058260336e4ca8f96d53d48de05f251710b43ef941b8929bc6ba9372af91e186
code/scenes/character_scenes/bg/sm1cs-bg002.rpy,deutsch,263,264,0a9ee2480135f21568dc7c19b879508275e3d83296575f8ccfab8e0f701fd0ff
code/scenes/character_scenes/bg/sm1cs-bg002i.rpy,deutsch,5,5,587ba8dbba80f480d4eae8f10356a438d34badc8c541099b05041a9a9d27b815
code/scenes/character_scenes/bg/sm1cs-bg003.rpy,french,324,330,3d528e49f34cffe38efe22b94e2ec237bcfd6e7beb3aaedf3e01ebf2787ed974
code/scenes/character_scenes/bg/sm1cs-bg003i.rpy,deutsch,8,8,f0281ff4da72c8095be177189893e162b0a2cb8ec6204b5355332f60d5db57e4
code/scenes/character_scenes/bg/sm1cs-bg004.rpy,deutsch,262,262,2a29fd8f0377e232f420c0065f583b2aed0d549c00f70f0668e28179a6d50ae5
code/scenes/character_scenes/bg/sm1cs-bg005.rpy,spanish,204,210,db2c860e34f30be208d709b8a843cbcd19d28978c7a3fd8c13f84a285d3ce67d
code/scenes/character_scenes/bg/sm1cs-bg005i.rpy,deutsch,11,11,c24ff6743b7a4c468bb2ef43a97d7002178ef1d106a6efe265dcdb84760659ad
code/scenes/character_scenes/cs/sm1cs-cs001.rpy,deutsch,34,34,257343fab4724d87cc4ba861ec66d4c6677d4938a0ae9c181e4153f70a4144dd
code/scenes/character_scenes/dc/sm1cs-dc-renovation.rpy,deutsch,102,102,43823006e4c5b32fdc5c860f10ac11068c5530c25046ae1d24fc09505dfc67c9
code/scenes/character_scenes/dc/sm1cs-dc-renovation_i.rpy,deutsch,14,14,2f1079c8379fbcfaed4ee45beacba0a68a0e0dbf143a7c088dd17dee46fa00e9
code/scenes/character_scenes/dc/sm1cs-dc001i.rpy,deutsch,8,8,da7062700431e70152e592065889293e1048aef2b868486b4ce9a769c5276948
code/scenes/character_scenes/dc/sm1cs-dc002.rpy,deutsch,86,89,af2668e813f9d2147ae2bd1a2cd432690a063ac140fdaf3df4c13d28009f9e6d
code/scenes/character_scenes/dc/sm1cs-dc003.rpy,deutsch,107,108,2127bf77989f395f5f4ca954d12822da8812dfaa0ba6854a87a42cd4a4af6fb3
code/scenes/character_scenes/dc/sm1cs-dc003i.rpy,deutsch,10,10,60e5cc99d36681936a9e64a409e8e3bc2dcc85ae8563d459473d14265550d22d
code/scenes/character_scenes/dc/sm1cs-dc004.rpy,deutsch,14,14,1f984b6111ca3e078ea1cf5c2c896f9fa7a7b00717c6731c52308883fa418eec
code/scenes/character_scenes/dc/sm1cs-dc004i.rpy,deutsch,3,3,6b60a0d720cb97675a78258d430d0e5771045e9f5069e7ddea6d0ca18f7eb460
code/scenes/character_scenes/dc/sm1cs-dc005i.rpy,deutsch,9,9,2edc8997b3e6ea567564013d3ce32d50cb01f71b6139b25428775d6aebbdf07a
code/scenes/character_scenes/dc/sm1cs-dc006.rpy,portuguese,158,160,8521adf144777e432d65088d80f51ca4b6dc1a4ca48a5b4888b654562a79a1e8
code/scenes/character_scenes/dc/sm1cs-dc006i.rpy,deutsch,21,21,f5925284050b2316a5b8c2d6b7ed4e5c8e6180307a08ed059cacb9479c979fdd
code/scenes/character_scenes/dc/sm1cs-dc007.rpy,deutsch,134,135,7746c92809245a8b73b4c2b88f3a21e75b874e98fef559de1aabecb5d942bbc5
code/scenes/character_scenes/dc/sm1cs-dc008.rpy,french,174,174,3a86caf8e2c63507a3d5f20bda0043a961d8b9a0cbb1a5b67239518e945185fc
